"filename", "language", "YAML", "Properties", "Groovy", "C++", "XML", "Dart", "JSON", "Markdown", "Swift", "HTML", "SVG", "comment", "blank", "total"
"c:\dev\projects\TCC3\museo\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 1, 27
"c:\dev\projects\TCC3\museo\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\dev\projects\TCC3\museo\l10n.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\dev\projects\TCC3\museo\lib\constants\colors.dart", "Dart", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\dev\projects\TCC3\museo\lib\constants\routes.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\dev\projects\TCC3\museo\lib\constants\urls.dart", "Dart", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\dev\projects\TCC3\museo\lib\extensions\buildcontext\loc.dart", "Dart", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\dev\projects\TCC3\museo\lib\extensions\string.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\dev\projects\TCC3\museo\lib\gen\assets.gen.dart", "Dart", 0, 0, 0, 0, 0, 184, 0, 0, 0, 0, 0, 53, 70, 307
"c:\dev\projects\TCC3\museo\lib\helpers\loadin_screen_controller.dart", "Dart", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\dev\projects\TCC3\museo\lib\helpers\loading_screen.dart", "Dart", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 9, 113
"c:\dev\projects\TCC3\museo\lib\helpers\price.dart", "Dart", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\dev\projects\TCC3\museo\lib\l10n\intl_en.arb", "JSON", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 9, 64
"c:\dev\projects\TCC3\museo\lib\l10n\intl_pt.arb", "JSON", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 9, 64
"c:\dev\projects\TCC3\museo\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 190, 0, 0, 0, 0, 0, 8, 6, 204
"c:\dev\projects\TCC3\museo\lib\models\museum_information.dart", "Dart", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 1, 6, 41
"c:\dev\projects\TCC3\museo\lib\models\store\coupon_discount.dart", "Dart", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 5, 49
"c:\dev\projects\TCC3\museo\lib\models\store\payments_methods.dart", "Dart", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 7, 86
"c:\dev\projects\TCC3\museo\lib\models\store\products.dart", "Dart", 0, 0, 0, 0, 0, 133, 0, 0, 0, 0, 0, 0, 9, 142
"c:\dev\projects\TCC3\museo\lib\models\store\tickets.dart", "Dart", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 8, 82
"c:\dev\projects\TCC3\museo\lib\providers\shopping_ticket_cart.dart", "Dart", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 10, 79
"c:\dev\projects\TCC3\museo\lib\utilities\dialogs\generic_dialog.dart", "Dart", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 3, 40
